name,metal,ox,high_spin,spin_splitting_kcal/mol,energetic_homo_ls_eV,energetic_homo_hs_eV,energetic_lumo_ls_eV,energetic_lumo_hs_eV,energetic_gap_ls_eV,energetic_gap_hs_eV
co_2_[OH]-[PH]-[PH]-[OH]_[OH]-[PH]-[PH]-[OH]_[OH]-[PH]-[PH]-[OH]_[OH]-[PH]-[PH]-[OH]_[OH]-[PH]-[PH]-[OH]_[OH]-[PH]-[PH]-[OH],co,2,4,-22.7727881844425,-13.7036540018713,-13.8288263775834,-10.5335275300326,-10.299509610223,3.17012647183878,3.52931676736043
co_2_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH],co,2,4,-19.3737706065458,-14.642446819712,-14.4410825631317,-11.3580325265709,-11.2709560912929,3.28441429314113,3.17012647183878
co_2_[O]=[CH]-[CH]=[O]_[O]=[CH]-[CH]=[O]_[O]=[CH]-[CH]=[O]_[O]=[CH]-[CH]=[O]_[O]=[CH]-[CH]=[O]_[O]=[CH]-[CH]=[O],co,2,4,-17.4557445389397,-16.0139006753401,-16.3295527532228,-12.3185944532311,-11.9784521279265,3.69530622210907,4.35110062529632
co_2_[PH2]-[CH]=[CH]-[PH2]_[PH2]-[CH]=[CH]-[PH2]_[PH2]-[CH]=[CH]-[PH2]_[PH2]-[CH]=[CH]-[PH2]_[PH2]-[CH]=[CH]-[PH2]_[PH2]-[CH]=[CH]-[PH2],co,2,4,9.99462489139146,-12.5689392046552,-13.1294937567572,-9.47500461368468,-10.0818185220281,3.09393459097056,3.04767523472913
co_2_[PH2]-[PH]-[PH]-[PH2]_[PH2]-[PH]-[PH]-[PH2]_[PH2]-[PH]-[PH]-[PH2]_[PH2]-[PH]-[PH]-[PH2]_[PH2]-[PH]-[PH]-[PH2]_[PH2]-[PH]-[PH]-[PH2],co,2,4,7.43615211184861,-12.3322001462432,-12.6641790557405,-9.76888758274784,-10.0410014429915,2.56331256349539,2.623177612749
co_2_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2],co,2,4,6.37785983207596,-13.2845986570961,-13.4097710328082,-10.4954315895984,-10.8464584693128,2.78916706749764,2.56331256349539
co_2_[SH]-[CH2]-[CH2]-[SH]_[SH]-[CH2]-[CH2]-[SH]_[SH]-[CH2]-[CH2]-[SH]_[SH]-[CH2]-[CH2]-[SH]_[SH]-[CH2]-[CH2]-[SH]_[SH]-[CH2]-[CH2]-[SH],co,2,4,-6.98722524588228,-13.1703108357937,-13.6710003386421,-10.4437299561521,-10.4001917385132,2.7265808796416,3.27080860012894
co_2_[SH]-[PH]-[PH]-[SH]_[SH]-[PH]-[PH]-[SH]_[SH]-[PH]-[PH]-[SH]_[SH]-[PH]-[PH]-[SH]_[SH]-[PH]-[PH]-[SH]_[SH]-[PH]-[PH]-[SH],co,2,4,-12.3373585330361,-13.22201246924,-13.352627122157,-10.8246893604933,-10.6206039653105,2.39732310874675,2.73202315684647
co_2_[SH]-[S]-[S]-[SH]_[SH]-[S]-[S]-[SH]_[SH]-[S]-[S]-[SH]_[SH]-[S]-[S]-[SH]_[SH]-[S]-[S]-[SH]_[SH]-[S]-[S]-[SH],co,2,4,-9.89887648400357,-14.0029792481394,-14.0329117727662,-11.7008959904779,-11.4777626250781,2.30208325766147,2.55514914768809
co_2_[S]=[CH]-[CH]=[S]_[S]=[CH]-[CH]=[S]_[S]=[CH]-[CH]=[S]_[S]=[CH]-[CH]=[S]_[S]=[CH]-[CH]=[S]_[S]=[CH]-[CH]=[S],co,2,4,8.35118103076511,-13.5948084577739,-14.1716898414905,-12.6260831153064,-12.1634895528922,0.968725342467472,2.00820028859831
